"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","52","Validate links with different HTTP methods","RestAssured API Testing Suite","Sat Jan 17 00:49:16 UTC 2026","passed","Sat Jan 17 00:49:16 UTC 2026","com.api.testing.tests.BrokenLinksTest","API Tests","com.api.testing.tests.BrokenLinksTest","testLinksWithDifferentMethods"
"","1","Demonstrate authentication configuration","RestAssured API Testing Suite","Sat Jan 17 00:49:15 UTC 2026","passed","Sat Jan 17 00:49:15 UTC 2026","com.api.testing.tests.EnvironmentTest","API Tests","com.api.testing.tests.EnvironmentTest","testAuthenticationConfig"
"","36","Partition POJOs based on conditions","RestAssured API Testing Suite","Sat Jan 17 00:49:16 UTC 2026","passed","Sat Jan 17 00:49:16 UTC 2026","com.api.testing.tests.PojoCollectionsTest","API Tests","com.api.testing.tests.PojoCollectionsTest","testPartitionPojos"
"","54","Delete posts with different IDs","RestAssured API Testing Suite","Sat Jan 17 00:49:13 UTC 2026","passed","Sat Jan 17 00:49:13 UTC 2026","com.api.testing.tests.DeleteRequestTest","API Tests","com.api.testing.tests.DeleteRequestTest","testDeletePostDynamically"
"","90","Create post with inline hardcoded data","RestAssured API Testing Suite","Sat Jan 17 00:49:14 UTC 2026","passed","Sat Jan 17 00:49:14 UTC 2026","com.api.testing.tests.HardcodedDataTest","API Tests","com.api.testing.tests.HardcodedDataTest","testCreatePostWithInlineData"
"","3049","Get post by ID","RestAssured API Testing Suite","Sat Jan 17 00:49:10 UTC 2026","passed","Sat Jan 17 00:49:13 UTC 2026","com.api.testing.tests.GetRequestTest","API Tests","com.api.testing.tests.GetRequestTest","testGetPostById"
"","144","Categorize links by status code","RestAssured API Testing Suite","Sat Jan 17 00:49:16 UTC 2026","passed","Sat Jan 17 00:49:16 UTC 2026","com.api.testing.tests.BrokenLinksTest","API Tests","com.api.testing.tests.BrokenLinksTest","testCategorizeLinksbyStatusCode"
"","5","Verify environment configuration is loaded","RestAssured API Testing Suite","Sat Jan 17 00:49:15 UTC 2026","passed","Sat Jan 17 00:49:15 UTC 2026","com.api.testing.tests.EnvironmentTest","API Tests","com.api.testing.tests.EnvironmentTest","testEnvironmentConfig"
"","94","Get post and log complete response with complex assertions","RestAssured API Testing Suite","Sat Jan 17 00:49:14 UTC 2026","passed","Sat Jan 17 00:49:14 UTC 2026","com.api.testing.tests.ResponseLoggingAndAssertionTest","API Tests","com.api.testing.tests.ResponseLoggingAndAssertionTest","testGetPostWithResponseLogging"
"","51","Delete posts using JSON data provider","RestAssured API Testing Suite","Sat Jan 17 00:49:13 UTC 2026","passed","Sat Jan 17 00:49:13 UTC 2026","com.api.testing.tests.DeleteRequestTest","API Tests","com.api.testing.tests.DeleteRequestTest","testDeletePostWithJsonData"
"","63","Calculate statistics from POJO collections","RestAssured API Testing Suite","Sat Jan 17 00:49:16 UTC 2026","passed","Sat Jan 17 00:49:16 UTC 2026","com.api.testing.tests.PojoCollectionsTest","API Tests","com.api.testing.tests.PojoCollectionsTest","testCalculateStatistics"
"","38","Filter POJOs using Java Streams","RestAssured API Testing Suite","Sat Jan 17 00:49:16 UTC 2026","passed","Sat Jan 17 00:49:16 UTC 2026","com.api.testing.tests.PojoCollectionsTest","API Tests","com.api.testing.tests.PojoCollectionsTest","testFilterPostsUsingStreams"
"","2","Get specific object by index from array","RestAssured API Testing Suite","Sat Jan 17 00:49:14 UTC 2026","passed","Sat Jan 17 00:49:14 UTC 2026","com.api.testing.tests.JsonDataProviderTest","API Tests","com.api.testing.tests.JsonDataProviderTest","testGetObjectByIndex"
