"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2170","Get post by ID","RestAssured API Testing Suite","Sat Jan 17 00:38:50 UTC 2026","passed","Sat Jan 17 00:38:52 UTC 2026","com.api.testing.tests.GetRequestTest","API Tests","com.api.testing.tests.GetRequestTest","testGetPostById"
"","4","Verify JSON data availability","RestAssured API Testing Suite","Sat Jan 17 00:38:53 UTC 2026","passed","Sat Jan 17 00:38:53 UTC 2026","com.api.testing.tests.JsonDataProviderTest","API Tests","com.api.testing.tests.JsonDataProviderTest","testJsonDataAvailability"
"","97","Partially update the post using PATCH","RestAssured API Testing Suite","Sat Jan 17 00:38:57 UTC 2026","passed","Sat Jan 17 00:38:57 UTC 2026","com.api.testing.tests.ChainRequestTest","API Tests","com.api.testing.tests.ChainRequestTest","testPartialUpdateWithPatch"
"","98","Delete posts with different IDs","RestAssured API Testing Suite","Sat Jan 17 00:38:52 UTC 2026","passed","Sat Jan 17 00:38:52 UTC 2026","com.api.testing.tests.DeleteRequestTest","API Tests","com.api.testing.tests.DeleteRequestTest","testDeletePostDynamically"
"","44","Deserialize single post response to POJO","RestAssured API Testing Suite","Sat Jan 17 00:38:55 UTC 2026","passed","Sat Jan 17 00:38:55 UTC 2026","com.api.testing.tests.PojoTest","API Tests","com.api.testing.tests.PojoTest","testDeserializePostToPojo"
"","100","Verify response headers","RestAssured API Testing Suite","Sat Jan 17 00:38:52 UTC 2026","passed","Sat Jan 17 00:38:52 UTC 2026","com.api.testing.tests.GetRequestTest","API Tests","com.api.testing.tests.GetRequestTest","testResponseHeaders"
"","104","Update post using POJO serialization","RestAssured API Testing Suite","Sat Jan 17 00:38:55 UTC 2026","passed","Sat Jan 17 00:38:55 UTC 2026","com.api.testing.tests.PojoTest","API Tests","com.api.testing.tests.PojoTest","testUpdatePostUsingPojo"
"","3","Get specific object by index from array","RestAssured API Testing Suite","Sat Jan 17 00:38:53 UTC 2026","passed","Sat Jan 17 00:38:53 UTC 2026","com.api.testing.tests.JsonDataProviderTest","API Tests","com.api.testing.tests.JsonDataProviderTest","testGetObjectByIndex"
"","29","Sort POJOs using Comparator","RestAssured API Testing Suite","Sat Jan 17 00:38:55 UTC 2026","passed","Sat Jan 17 00:38:55 UTC 2026","com.api.testing.tests.PojoCollectionsTest","API Tests","com.api.testing.tests.PojoCollectionsTest","testSortPostsUsingComparator"
"","48","Test API call with environment configuration","RestAssured API Testing Suite","Sat Jan 17 00:38:54 UTC 2026","passed","Sat Jan 17 00:38:54 UTC 2026","com.api.testing.tests.EnvironmentTest","API Tests","com.api.testing.tests.EnvironmentTest","testApiCallWithEnvironment"
"","159","Validate specific API endpoint links","RestAssured API Testing Suite","Sat Jan 17 00:38:55 UTC 2026","failed","Sat Jan 17 00:38:55 UTC 2026","com.api.testing.tests.BrokenLinksTest","API Tests","com.api.testing.tests.BrokenLinksTest","testApiEndpointLinks"
"","117","Update an existing post using PUT","RestAssured API Testing Suite","Sat Jan 17 00:38:57 UTC 2026","passed","Sat Jan 17 00:38:57 UTC 2026","com.api.testing.tests.ChainRequestTest","API Tests","com.api.testing.tests.ChainRequestTest","testUpdatePostWithPut"
"","90","Delete posts with different IDs","RestAssured API Testing Suite","Sat Jan 17 00:38:53 UTC 2026","passed","Sat Jan 17 00:38:53 UTC 2026","com.api.testing.tests.DeleteRequestTest","API Tests","com.api.testing.tests.DeleteRequestTest","testDeletePostDynamically"
